split,cell_emb,drug_emb,model,variant,inert_embedding,grouping,metric,value,se,n_seeds_or_folds,n_units,run_dir
loclo_loo,gene_jepa,materials,mlp,full,none,within_cell_line,MCC,0.006056036549301172,0.0033082234087071813,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__materials__mlp
loclo_loo,gene_jepa,materials,mlp,full,none,within_cell_line,AUROC,0.495010967603797,0.005378248659397181,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__materials__mlp
loclo_loo,gene_jepa,materials,mlp,full,none,overall,MCC,0.0060560365493011,0.0210934343985399,12,,results/zenodo/grid/loclo_loo__gene_jepa__materials__mlp
loclo_loo,gene_jepa,materials,mlp,full,none,overall,AUROC,0.4950109676037968,0.0210875968154384,12,,results/zenodo/grid/loclo_loo__gene_jepa__materials__mlp
loclo_loo,gene_jepa,materials,xrfm,full,none,within_drug,MCC,-0.041333866056645914,0.011865091948565389,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__materials__xrfm
loclo_loo,gene_jepa,materials,xrfm,full,none,within_drug,AUROC,0.474262126649158,0.011749992762894545,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__materials__xrfm
loclo_loo,gene_jepa,materials,xrfm,full,none,within_cell_line,MCC,0.04224334600335452,0.008625607286082313,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__materials__xrfm
loclo_loo,gene_jepa,materials,xrfm,full,none,within_cell_line,AUROC,0.5351087283204919,0.00786270807400209,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__materials__xrfm
loclo_loo,gene_jepa,materials,xrfm,full,none,overall,MCC,0.0422433460033545,0.0321939949687829,12,,results/zenodo/grid/loclo_loo__gene_jepa__materials__xrfm
loclo_loo,gene_jepa,materials,xrfm,full,none,overall,AUROC,0.535108728320492,0.0307788866995945,12,,results/zenodo/grid/loclo_loo__gene_jepa__materials__xrfm
loclo_loo,gene_jepa,molformer,lightgbm,full,none,within_drug,MCC,-0.03658872208348184,0.005448968496696308,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__lightgbm
loclo_loo,gene_jepa,molformer,lightgbm,full,none,within_drug,AUROC,0.4798978507367944,0.003741698287766762,3,10.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__lightgbm
loclo_loo,gene_jepa,molformer,lightgbm,full,none,within_cell_line,MCC,0.03428572100341159,0.00662278225522666,3,12.0,results/zenodo/grid/loclo_loo__gene_jepa__molformer__lightgbm
