split,cell_emb,drug_emb,model,variant,inert_embedding,grouping,metric,value,se,n_seeds_or_folds,n_units,run_dir
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_cell_line,MCC,0.5602482225664968,0.0,3,38.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,within_cell_line,AUROC,0.8523151629072682,0.0010852493887419593,3,38.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,overall,MCC,0.5602482225664966,0.0378656616549904,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,lightgbm,full,none,overall,AUROC,0.8523151629072683,0.0277853287829344,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__lightgbm
loclo_loo,gene_jepa,maccs,mlp,full,none,within_drug,MCC,0.005121622107222057,0.026917133230690605,3,10.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,within_drug,AUROC,0.49367607341942293,0.020052587352839484,3,10.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,within_cell_line,MCC,0.5282222748811213,0.0017721432150219092,3,38.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,within_cell_line,AUROC,0.8435888331940964,0.003395463585240876,3,38.0,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,overall,MCC,0.5282222748811212,0.0419823675648726,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__mlp
loclo_loo,gene_jepa,maccs,mlp,full,none,overall,AUROC,0.8435888331940962,0.024582451547872,38,,results/tahoe/bal15_drugs/loclo_loo__gene_jepa__maccs__mlp
